survey_id,date,year,mile,method,station_id,station_ft,width_ft,flag,lon,lat
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,0,0.0,153.3,ok,-91.054164,32.126
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,1,98.4,152.8,ok,-91.054291,32.125752
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,2,196.9,101.6,ok,-91.054418,32.125504
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,3,295.3,101.2,ok,-91.054546,32.125256
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,4,393.7,100.9,ok,-91.054673,32.125008
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,5,492.1,150.9,ok,-91.054801,32.12476
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,6,590.6,100.3,ok,-91.054928,32.124513
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,7,689.0,150.0,ok,-91.055056,32.124265
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,8,787.4,66.4,ok,-91.055183,32.124017
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,9,885.8,132.5,ok,-91.05531,32.123769
LM_05_VGG_20210805_CS_4182_4182,2021-08-05 00:00:00+00:00,2021,418.0,blob,10,984.3,132.0,ok,-91.055438,32.123521
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,0,0.0,239.1,ok,-91.070448,33.861128
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,1,98.4,358.4,ok,-91.070757,33.861208
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,2,196.9,318.3,ok,-91.071067,33.861289
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,3,295.3,318.1,ok,-91.071377,33.861369
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,4,393.7,317.9,ok,-91.071686,33.861449
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,5,492.1,317.7,ok,-91.071996,33.861529
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,6,590.6,317.5,ok,-91.072305,33.86161
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,7,689.0,317.3,ok,-91.072615,33.86169
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,8,787.4,158.5,ok,-91.072925,33.86177
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,9,885.8,158.4,ok,-91.073234,33.86185
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,10,984.3,158.3,ok,-91.073544,33.861931
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,11,1082.7,316.4,ok,-91.073853,33.862011
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,12,1181.1,316.2,ok,-91.074163,33.862091
LM_14_VBO_20211001_CS,2021-10-01 00:00:00+00:00,2021,591.0,blob,13,1279.5,316.0,ok,-91.074473,33.862171
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,0,0.0,245.4,ok,-91.070941,33.861254
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,1,98.4,244.8,ok,-91.071251,33.861333
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,2,196.9,244.2,ok,-91.071561,33.861411
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,3,295.3,243.6,ok,-91.071871,33.86149
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,4,393.7,243.0,ok,-91.072182,33.861569
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,5,492.1,242.4,ok,-91.072492,33.861648
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,6,590.6,241.8,ok,-91.072802,33.861726
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,7,689.0,241.3,ok,-91.073112,33.861805
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,8,787.4,320.9,ok,-91.073422,33.861884
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,9,885.8,320.1,ok,-91.073732,33.861962
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,10,984.3,319.3,ok,-91.074043,33.862041
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,11,1082.7,159.2,ok,-91.074353,33.86212
LM_14_VBO_20211018_CS,2021-10-18 00:00:00+00:00,2021,591.0,blob,12,1181.1,158.9,ok,-91.074663,33.862198
LM_14_VBO_20211129_CS,2021-11-29 00:00:00+00:00,2021,591.0,blob,0,0.0,467.5,ok,-91.072559,33.86171
LM_14_VBO_20211129_CS,2021-11-29 00:00:00+00:00,2021,591.0,blob,1,98.4,467.2,ok,-91.072867,33.861796
LM_14_VBO_20211129_CS,2021-11-29 00:00:00+00:00,2021,591.0,blob,2,196.9,466.9,ok,-91.073175,33.861881
LM_14_VBO_20211129_CS,2021-11-29 00:00:00+00:00,2021,591.0,blob,3,295.3,313.2,ok,-91.073482,33.861966
LM_14_VBO_20211129_CS,2021-11-29 00:00:00+00:00,2021,591.0,blob,4,393.7,241.1,ok,-91.07379,33.862052
LM_14_VBO_20211129_CS,2021-11-29 00:00:00+00:00,2021,591.0,blob,5,492.1,363.9,ok,-91.074098,33.862137
LM_14_VBO_20211129_CS,2021-11-29 00:00:00+00:00,2021,591.0,blob,6,590.6,316.4,ok,-91.074405,33.862222
LM_14_VBO_20211129_CS,2021-11-29 00:00:00+00:00,2021,591.0,blob,7,689.0,346.0,ok,-91.07468,33.862325
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,0,0.0,1177.2,ok,-90.582495,34.60311
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,1,98.4,1317.0,ok,-90.58281,34.603183
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,2,196.9,1027.7,ok,-90.583116,34.603265
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,3,295.3,1013.5,ok,-90.583274,34.603502
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,4,393.7,1007.3,ok,-90.583433,34.603738
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,5,492.1,1047.1,ok,-90.583591,34.603975
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,6,590.6,1041.8,ok,-90.583691,34.604231
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,7,689.0,1007.0,ok,-90.583774,34.604492
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,8,787.4,973.4,ok,-90.583892,34.604744
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,9,885.8,934.9,ok,-90.584051,34.604979
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,10,984.3,985.4,ok,-90.584238,34.605201
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,11,1082.7,979.5,ok,-90.584356,34.60545
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,12,1181.1,848.1,ok,-90.584456,34.605708
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,13,1279.5,832.5,ok,-90.584601,34.605948
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,14,1378.0,897.3,ok,-90.584775,34.606177
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,15,1476.4,889.1,ok,-90.58495,34.606405
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,16,1574.8,942.3,ok,-90.585125,34.606634
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,17,1673.2,913.8,ok,-90.585299,34.606862
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,18,1771.7,929.7,ok,-90.585474,34.607091
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,19,1870.1,855.4,ok,-90.585649,34.607319
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,20,1968.5,889.7,ok,-90.585824,34.607548
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,21,2066.9,882.4,ok,-90.586001,34.607775
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,22,2165.4,987.6,ok,-90.586224,34.607973
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,23,2263.8,978.1,ok,-90.586358,34.608212
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,24,2362.2,947.7,ok,-90.586447,34.608472
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,25,2460.6,989.7,ok,-90.586536,34.608732
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,26,2559.1,929.9,ok,-90.586625,34.608992
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,27,2657.5,911.9,ok,-90.586757,34.609238
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,28,2755.9,965.5,ok,-90.586921,34.609471
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,29,2854.3,937.1,ok,-90.587086,34.609705
LM_18_FRI_20210326_CS_671_STF_SORT,2021-03-26 00:00:00+00:00,2021,671.0,blob,30,2952.8,958.4,ok,-90.587251,34.609938
